Título,Preço Original,Desconto,Disponibilidade,Pré-venda,Link
Black Butler Vol. 32,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/black-butler-vol-32
Sword Art Online: Alicization Lasting Vol. 18,"R$ 49,90","R$ 32,44",Disponível,Não,https://panini.com.br/sword-art-online-alicization-lasting-vol-18
Seraph Of The End Vol. 28,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/seraph-of-the-end-vol-28
Kaguya Sama - Love Is War Vol. 26,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/kaguya-sama-love-is-war-vol-26
Komi Não Consegue Se Comunicar Vol. 13,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-13
Ataque Dos Titãs: Outside,"R$ 43,90","R$ 28,54",Disponível,Não,https://panini.com.br/ataque-dos-titas-outside
Confusões Do Primeiro Amor 02,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/confusoes-do-primeiro-amor-02
The Killer Inside Vol. 7,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/the-killer-inside-vol-7
Kanojo Mo Kanojo - Confissões E Namoradas Vol. 8,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/kanojo-mo-kanojo-confissoes-e-namoradas-vol-8
Kemono Jihen - Incidentes Sobrenaturais Vol. 6,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/kemono-jihen-incidentes-sobrenaturais-vol-6
Beast Complex Vol. 3,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/beast-complex-vol-3
Blue Period Vol. 11,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/blue-period-vol-11
Mushoku Tensei: Uma Segunda Chance Vol. 9,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/mushoku-tensei-uma-segunda-chance-vol-9
Diário De Uma Cidade Litorânea Vol. 8,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/diario-de-uma-cidade-litoranea-vol-8
Missão: Família Yozakura Vol. 9,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-9
Sword Art Online Progressive Vol. 6,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/sword-art-online-progressive-vol-6
The Elusive Samurai 01,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/the-elusive-samurai-01
Sasaki E Miyano Vol. 3,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/sasaki-e-miyano-vol-3
Undead Unluck Vol. 3,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/undead-unluck-vol-3
Namorada De Aluguel Vol. 21,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/namorada-de-aluguel-vol-21
Mashle: Magia E Músculos Vol. 6,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/mashle-magia-e-musculos-vol-6
Golden Kamuy Vol. 30,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/golden-kamuy-vol-30
Dorohedoro Vol. 19,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/dorohedoro-vol-19
Tanya The Evil: Crônicas De Guerra Vol. 24,"R$ 32,90","R$ 21,39",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-24
Donzelas à Flor Da Pele Vol. 6,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/donzelas-a-flor-da-pele-vol-6
Mao Vol. 13,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/mao-vol-13
Caçando Dragões Vol. 13,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-13
Fire Force Vol. 34,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/fire-force-vol-34
Bakemonogatari Vol. 17,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/bakemonogatari-vol-17
Komi Não Consegue Se Comunicar Vol. 12,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-12
One-Punch Man Vol. 26,"R$ 33,90","R$ 18,65",Disponível,Não,https://panini.com.br/one-punch-man-vol-26
Kanojo Mo Kanojo - Confissões E Namoradas Vol. 7,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/kanojo-mo-kanojo-confissoes-e-namoradas-vol-7
The Killer Inside Vol. 6,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/the-killer-inside-vol-6
Confusões Do Primeiro Amor 01,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/confusoes-do-primeiro-amor-01
